DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP,CO_AQI,OZONE_AQI,NO2_AQI,SO2_AQI,PM2.5_AQI,AQI_AVG,STATUS
119,APR,4,28-04-2016 00:00,1.02,28.54,22.49,4.27,23.91,32.56,51.0,28.54,28.112499999999997,5.3374999999999995,23.91,27.380000000000003,0
120,APR,4,29-04-2016 00:00,7.86,34.18,18.96,4.1,18.42,32.49,177.92885906040266,34.18,23.700000000000003,5.125,18.42,51.870771812080534,0
123,MAY,5,02-05-2016 00:00,6.32,52.61,17.11,9.37,30.14,32.72,157.36107382550335,52.61,21.3875,11.712499999999999,30.14,54.642214765100675,0
124,MAY,5,03-05-2016 00:00,25.7,40.54,14.36,8.52,21.6,32.77,402.8411764705882,40.54,17.95,10.649999999999999,21.6,98.71623529411764,0
125,MAY,5,04-05-2016 00:00,1.04,35.57,14.63,8.27,23.42,32.92,52.0,35.57,18.2875,10.337499999999999,23.42,27.923000000000002,0
126,MAY,5,05-05-2016 00:00,62.12,40.74,14.27,7.85,31.53,32.72,829.1694117647058,40.74,17.8375,9.8125,31.53,185.81788235294115,0
127,MAY,5,06-05-2016 00:00,0.99,41.24,16.12,7.81,35.75,32.58,49.5,41.24,20.150000000000002,9.7625,35.75,31.280500000000007,0
128,MAY,5,07-05-2016 00:00,0.98,41.82,13.6,8.26,24.34,32.76,49.0,41.82,17.0,10.325,24.34,28.496999999999996,0
129,MAY,5,08-05-2016 00:00,1.0,37.74,13.18,6.67,20.88,32.98,50.0,37.74,16.475,8.3375,20.88,26.686500000000002,0
130,MAY,5,09-05-2016 00:00,1.23,26.37,11.98,6.43,18.98,33.06,61.5,26.37,14.975000000000001,8.0375,18.98,25.972499999999997,0
131,MAY,5,10-05-2016 00:00,1.2,22.35,12.14,6.05,21.1,33.31,60.0,22.35,15.175,7.5625,21.1,25.2375,0
132,MAY,5,11-05-2016 00:00,1.37,33.57,13.92,6.12,21.65,33.08,68.5,33.57,17.4,7.65,21.65,29.754,0
133,MAY,5,12-05-2016 00:00,1.45,67.39,23.16,6.44,22.06,33.26,72.5,67.39,28.95,8.05,22.06,39.79,0
134,MAY,5,13-05-2016 00:00,1.39,69.82,15.86,6.49,19.55,33.01,69.5,69.82,19.825,8.1125,19.55,37.3615,0
135,MAY,5,14-05-2016 00:00,1.38,60.63,11.32,5.68,15.95,33.12,69.0,60.63,14.15,7.1,15.95,33.366,0
136,MAY,5,15-05-2016 00:00,1.31,57.81,7.51,5.0,11.87,33.15,65.5,57.81,9.3875,6.25,11.87,30.1635,0
137,MAY,5,16-05-2016 00:00,77.29,51.34,8.75,4.83,10.62,31.34,1006.7476470588235,51.34,10.9375,6.0375,10.62,217.13652941176466,0
140,MAY,5,19-05-2016 00:00,75.86,43.54,21.13,5.12,31.96,30.37,990.0082352941176,43.54,26.412499999999998,6.4,31.96,219.66414705882352,0
141,MAY,5,20-05-2016 00:00,84.76,57.22,34.47,6.41,32.06,31.52,1094.1905882352942,57.22,43.0875,8.0125,32.06,246.91411764705884,0
142,MAY,5,21-05-2016 00:00,13.48,55.81,12.05,5.25,44.8,34.04,252.98791946308725,55.81,15.0625,6.5625,44.8,75.04458389261745,0
143,MAY,5,22-05-2016 00:00,0.88,49.84,12.53,4.11,38.69,34.69,44.0,49.84,15.6625,5.1375,38.69,30.665999999999997,0
144,MAY,5,23-05-2016 00:00,0.98,27.03,18.98,4.45,38.96,34.71,49.0,27.03,23.725,5.5625,38.96,28.8555,0
145,MAY,5,24-05-2016 00:00,1.14,41.64,18.58,3.85,29.84,35.02,56.99999999999999,41.64,23.224999999999998,4.8125,29.84,31.303499999999996,0
146,MAY,5,25-05-2016 00:00,1.03,45.06,12.89,4.01,29.86,35.31,51.5,45.06,16.1125,5.012499999999999,29.86,29.509000000000004,0
147,MAY,5,26-05-2016 00:00,86.77,43.8,13.66,4.35,34.81,34.55,1117.719411764706,43.8,17.075,5.4375,34.81,243.76838235294116,0
150,MAY,5,29-05-2016 00:00,67.52,60.31,11.64,4.5,32.44,33.32,892.3811764705881,60.31,14.55,5.625,32.44,201.0612352941176,0
151,MAY,5,30-05-2016 00:00,29.45,43.83,11.68,4.94,35.75,33.77,446.73823529411766,43.83,14.6,6.175000000000001,35.75,109.41864705882354,0
152,MAY,5,31-05-2016 00:00,1.15,55.12,15.46,2.37,38.73,33.66,57.49999999999999,55.12,19.325000000000003,2.9625000000000004,38.73,34.7275,0
166,JUN,6,14-06-2016 00:00,1.55,12.67,21.95,6.43,33.14,30.34,77.5,12.67,27.4375,8.0375,33.14,31.756999999999998,0
